RA,Dec,MagV,Identifier
313.67498463,+37.07370851,7.15,HIP 103216
315.3036020432891,+36.0260130979744,5.997,HIP 103734
316.7302669382731,+38.7420450391424,6.03,HIP 104217
318.69788551,+38.04531782,3.73,HIP 104887
316.7247483752822,+38.7494158400991,5.21,HIP 104214
319.7501584490832,+39.7493417516732,6.672,HIP 105237
320.8980404612037,+40.0186170505596,7.21,HIP 105624
319.3539685017,+39.3946813328,4.24,HIP 105102
319.4015504929524,+39.2099442332826,6.978,HIP 105116
319.8325711052247,+38.8065757554079,6.99,HIP 105264
320.6951434338615,+38.6342786920379,6.617,HIP 105561
320.7279464268355,+38.7085068753530,7.26,HIP 105573
318.5980692569763,+39.2432553048523,7.246,HIP 104852
319.8424051929872,+38.2374631634801,5.882,HIP 105269
323.2229536660460,+40.4074210212801,7.27,HIP 106390
324.2373771045178,+40.4134949567494,5.035,HIP 106711
324.4527860268105,+39.3171759970336,6.75,HIP 106790
324.9740064999489,+39.5149539762639,6.98,HIP 106969
325.7769613590821,+41.1549717173506,5.505,HIP 107235
327.4170586995815,+41.1487853353254,6.48,HIP 107749
325.5956619721,+41.0770204597,5.726,HIP 107162
324.5051007751457,+41.0813669967079,7.15,HIP 106815
325.3927306246255,+40.8052183852423,6.075,HIP 107097
330.4291465547728,+41.5391463549966,6.98,HIP 108745
332.4403254445829,+43.1865362460591,7.1,HIP 109397
332.7654704762924,+43.0306809760620,6.76,HIP 109511
333.6848446723336,+42.9538966042936,5.72,HIP 109831
330.6848085963803,+42.8145140610915,7.207,HIP 108819
333.7646127070397,+43.7733363400117,6.83,HIP 109862
338.8152537179959,+45.1534036201927,6.97,HIP 111487
337.0146314764812,+44.1205782525467,6.56,HIP 110896
337.6219168554,+43.1233767875,4.511,HIP 111104
340.2903772015542,+45.0086904801206,7.16,HIP 112000
340.9120939983829,+44.5305150136071,7.22,HIP 112217
341.3520056962620,+44.7524326643028,6.99,HIP 112351
341.5425908074033,+44.5460539598903,5.84,HIP 112417
339.5724734476423,+45.1829369421573,6.37,HIP 111753
339.6405880211329,+44.6690257119810,7.16,HIP 111789
340.1285783617,+44.2763067336,4.46,HIP 111944
343.2056604378078,+46.5484099635772,6.81,HIP 112981
343.4173364097971,+44.7491551440189,5.808,HIP 113048
345.1433048073004,+45.3748048225918,6.49,HIP 113603
343.9459228316278,+44.3082485980948,6.82,HIP 113227
