RA,Dec,MagV,Identifier,Name,Bayer,HR,HD,IAUboundary
0.099583247,26.918108,6.434,HIP 34,-,-,9078,224758,Peg
0.128698178,59.55968082,6.177,HIP 43,-,-,9079,224784,Cas
0.143087896,-53.09771355,6.48,-,-,-,-,224782A,Phe
0.181810391,45.25333529,6.347,HIP 63,-,CG And,9080,224801,And
0.269095377,-48.80987439,5.698,HIP 88,-,τ Phoenicis,9081,224834,Phe
0.330214159,49.98155694,6.217,HIP 106,-,-,9083,224870,Cas
0.333829527,-50.33737026,5.524,HIP 107,-,-,9082,224865,Phe
0.398747712,-77.06572535,4.783,HIP 122,-,θ Octantis,9084,224889,Oct
0.404233491,61.22279986,5.567,HIP 124,-,-,9085,224893,Cas
0.414410077,73.61184647,6.492,HIP 128,-,-,-,224890,Cep
0.432705044,42.36714334,6.24,HIP 137,-,-,9086,224906,And
0.456033803,-3.027503283,5.1,HIP 145,-,29 Psc,9087,224926,Psc
0.490081132,-6.014070557,4.41,HIP 154,-,30 Psc,9089,224935,Psc
0.543119664,27.08183308,5.75,HIP 171,-,85 Peg,9088,224930,Peg
0.583029427,-29.72044125,5.022,HIP 183,-,ζ Sculptoris,9091,224990,Scl
0.600694731,8.956824883,6.325,HIP 186,-,31 Psc,9092,224995,Psc
0.623758727,8.485463714,5.69,HIP 194,-,32 Psc,9093,225003,Psc
0.650386057,66.09896335,5.842,HIP 207,-,-,9094,225009,Cas
0.739534104,-20.04588302,6.238,HIP 238,-,4 G. Cet,9095,225045,Cet
0.782725268,-24.14514473,6.443,HIP 253,-,5 G. Cet,9096,225069,Cet
0.857148477,63.64051696,6.22,HIP 274,-,-,9097,225094,Cas
0.934949296,-17.33599144,4.536,HIP 301,Hydor,2 Cet,9098,225132,Cet
0.965171424,66.71218559,6.323,HIP 302,-,V398 Cep,9099,225136,Cep
1.056926888,62.28766423,5.884,HIP 330,-,9 Cas,9100,225180,Cas
1.082461733,-16.52903662,5.769,HIP 343,-,7 G. Cet,9101,225197,Cet
1.084654682,-29.2688223,6.39,HIP 345,-,-,9102,225200,Scl
1.125494801,-10.50952192,4.924,HIP 355,-,3 Cet,9103,225212,Cet
1.152435523,42.09252227,6.14,HIP 365,-,-,9105,225218,And
1.172116401,-71.4368901,5.585,HIP 377,-,-,9108,225253,Tuc
1.174922087,67.16644512,5.676,HIP 379,-,-,9104,225216,Cep
1.223852864,34.65966701,6.11,HIP 394,-,-,9107,225239,And
1.233329181,26.64877089,6.25,HIP 399,-,-,9109,225276,Peg
1.254933697,27.67479084,6.462,HIP 410,-,-,-,225292,Peg
1.265928128,-0.503035727,6.298,HIP 417,-,-,2,6,Psc
1.275628669,61.31397009,5.791,HIP 418,-,-,9110,225289,Cas
1.33392155,-5.707619916,4.61,HIP 443,-,33 Psc,3,28,Psc
1.424840055,13.39626813,5.537,HIP 476,-,86 Peg,4,87,Peg
1.565891108,58.43669646,6.42,HIP 518A,-,-,-,-,Cas
1.579897185,-49.07518646,5.76,HIP 522,-,-,6,142,Phe
1.610572193,64.19615797,5.59,HIP 531,-,10 Cas,7,144,Cas
1.653266695,29.02150353,6.07,HIP 544,-,V439 And,8,166,And
1.708693016,-23.10754046,6.173,HIP 560,-,9 G. Cet,9,203,Cet
